Question	Answer	Tags
虚拟线程（Virtual Threads）是什么？它能替代线程池吗？	虚拟线程是 JDK 21 正式发布的轻量级线程，由 JVM 管理而非 OS，创建成本极低（百万级）。遇到阻塞操作（IO、锁）时自动挂起，释放载体线程。适合 IO 密集型场景，每个请求一个虚拟线程，无需线程池复用。不适合 CPU 密集型（计算在载体线程执行，无法卸到其他线程）。	stack::java::速记
Stream API 的中间操作和终端操作有什么区别？使用并行流需要注意什么？	中间操作（filter/map/sorted）是惰性的，构建操作流水线，不触发计算。终端操作（collect/forEach/reduce）触发实际计算。并行流 `parallelStream()` 使用 ForkJoinPool 公共线程池，适合大集合、无状态、CPU 密集型操作。注意：① 数据竞争（非线程安全容器）；② 顺序依赖（findFirst 在并行流中性能差）；③ 阻塞操作会阻塞整个池。	stack::java::代码
Optional 的正确用法是什么？常见的坑有哪些？	正确用法：作为返回值提示可能为空，强制调用方处理。常用方法：`orElse`、`orElseGet`（惰性求值）、`map`、`flatMap`、`filter`。常见坑：① 不要用 `Optional.of` 传入 null（抛 NPE）；② 不要用作字段类型（不可序列化）；③ 不要用作方法参数（增加复杂度）；④ `orElse` 在值为 null 时也会执行参数表达式（用 `orElseGet` 替代）。	stack::java::代码
Java 14+ 的 Record 解决了什么问题？对比 Lombok 有什么优势？	Record 是不可变数据载体，自动生成构造器、`equals`/`hashCode`/`toString`/getter。对比 Lombok：① 语言原生，无需编译期注解处理；② 语义明确（语义=数据载体）；③ 不可变性保证（所有字段 `private final`）；④ 支持模式匹配（JDK 21+）。缺点：不能继承、不能添加实例字段（只能加静态字段或方法）。	stack::java::速记
密封类（Sealed Class）的作用是什么？如何使用？	密封类限制哪些类可以继承或实现它，提供更精确的继承控制。语法：`sealed class Shape permits Circle, Rectangle`，子类必须声明为 `final`、`sealed` 或 `non-sealed`。配合 `switch` 模式匹配（JDK 21+）使用，编译器可穷举所有子类型，无需 `default` 分支。用于领域建模（如表达式 AST、状态机）。	stack::java::速记
Java 泛型是编译期还是运行期？什么是类型擦除？桥接方法的作用？	Java 泛型是编译期，运行期擦除为原始类型（如 `List<String>` → `List`）。擦除后必要的强制转换由编译器生成。桥接方法：当子类重写父类泛型方法时，编译器生成一个返回 Object 的桥接方法，内部调用子类具体类型的方法，保持多态。例如父类 `Comparable<T>` 的 `compareTo(T)`，子类 `compareTo(String)`，编译器生成 `compareTo(Object)` 桥接。	stack::java
反射为什么慢？如何优化反射性能？	慢的原因：① 动态类型检查（每次调用检查方法签名、访问权限）；② 自动装箱/拆箱；③ 方法对象无法被 JIT 内联；④ 权限检查。优化：① `setAccessible(true)` 跳过安全检查；② 缓存 `Method` 对象（避免重复查找）；③ `MethodHandle`（轻度反射，JIT 可内联）；④ `LambdaMetafactory` 生成调用点（接近直接调用性能）。	stack::java
Java 序列化的原理是什么？有什么安全风险？如何替代？	序列化将对象转为字节流，通过 `ObjectOutputStream.writeObject` 实现，利用反射递归遍历对象图。`serialVersionUID` 用于版本控制。安全风险：反序列化可执行任意代码（如 `Runtime.exec` 在 `readObject` 中触发）。替代方案：① JSON（Jackson/Gson，文本格式，安全）；② Protobuf（二进制，跨语言，性能好）；③ Kryo（Java 专用，比原生快 10 倍）。	stack::java::速记
NIO 的 Selector 是如何实现多路复用的？select/poll/epoll 有什么区别？	Selector 注册 Channel 感兴趣的事件（OP_ACCEPT/OP_READ/OP_WRITE），`select()` 阻塞等待就绪事件。Linux 上：select（1024 连接限制，O(n) 轮询），poll（无限制，O(n) 轮询），epoll（事件驱动，O(1)，注册回调，仅就绪的返回）。epoll 优势：① 无连接数限制；② 无需遍历所有 fd；③ 内存映射减少拷贝。Java NIO 在 Linux 默认使用 epoll。	stack::java
Netty 的 Reactor 线程模型是怎样的？Boss 和 Worker 分别做什么？	Netty 主从 Reactor 模型：Boss Group（1 个或多个线程）负责 accept 新连接，注册 Channel 到 Worker Group。Worker Group（多个线程）负责 IO 读写和业务处理（可放入业务线程池）。每个 Worker 线程管理多个 Channel，使用 Selector 多路复用。Pipeline 是责任链模式，Handler 分为 Inbound（解码）和 Outbound（编码），Handler 在 Worker 线程中串行执行。	stack::java
Spring Boot 自动配置的完整加载链路是怎样的？	`@SpringBootApplication` → `@EnableAutoConfiguration` → `AutoConfigurationImportSelector` → 读取 `META-INF/spring/org.springframework.boot.autoconfigure.AutoConfiguration.imports` 文件（每行一个自动配置类）→ `DeferredImportSelector` 延迟导入（等用户配置类处理完）→ 条件注解过滤（如 `@ConditionalOnClass`）→ 注册符合条件的 Bean。`@ConditionalOnMissingBean` 保证用户自定义 Bean 优先。	stack::spring-boot
@SpringBootApplication 由哪些注解组成？各有什么作用？	三个注解组合：`@SpringBootConfiguration`（标记为配置类，继承 `@Configuration`）、`@EnableAutoConfiguration`（开启自动配置）、`@ComponentScan`（默认扫描启动类所在包及其子包）。启动类推荐放在根包下，避免手动指定 `scanBasePackages`。	stack::spring-boot::速记
Spring Boot 常用的条件注解有哪些？分别在什么场景使用？	`@ConditionalOnClass`（classpath 存在指定类，判断是否引入 Starter）、`@ConditionalOnMissingBean`（容器无指定 Bean，用户可覆盖默认配置）、`@ConditionalOnProperty`（存在配置属性，用于特性开关）、`@ConditionalOnWebApplication`（Web 应用环境，区分 MVC 和 WebFlux）、`@ConditionalOnExpression`（SpEL 表达式，复杂条件组合）。条件注解在容器 refresh 阶段执行，非运行时。	stack::spring-boot::速记
如何自定义一个 Spring Boot Starter？自动配置类如何被加载？	① 建 `xxx-spring-boot-starter` 模块，添加 `AutoConfiguration` 类；② 在 `META-INF/spring/org.springframework.boot.autoconfigure.AutoConfiguration.imports` 注册自动配置类；③ 使用 `@ConditionalOnClass` 等条件注解控制生效条件；④ 通过 `@EnableConfigurationProperties` 绑定配置属性（`@ConfigurationProperties` 前缀）。核心：Starter 本质是自动配置 + 依赖管理的封装。	stack::spring-boot
Spring Boot 启动的核心流程（10 步）是什么？	① 推断应用类型（WebFlux/Servlet/None）；② 加载 `ApplicationContextInitializer` 和 `ApplicationListener`（从 `spring.factories`）；③ 准备 `Environment`（解析配置文件）；④ 创建 `ApplicationContext`；⑤ 调用 `Initializer`；⑥ 加载 Bean 定义；⑦ `refresh()` 容器（获取 BeanFactory → 执行 BeanFactoryPostProcessor → 注册 BeanPostProcessor → `onRefresh` 创建 WebServer → 实例化单例 Bean → `finishRefresh`）；⑧ 启动内嵌 Web 容器；⑨ 运行 `CommandLineRunner` / `ApplicationRunner`；⑩ 发布 `ApplicationReadyEvent`。	stack::spring-boot
Spring Boot 如何启动内嵌 Tomcat？如何切换为 Undertow？	`refresh()` 的 `onRefresh()` 阶段调用 `ServletWebServerFactory` 创建 `WebServer`。`TomcatServletWebServerFactory` 创建 Tomcat 实例，配置端口/连接器/线程池，`getTomcatWebServer()` 启动。切换为 Undertow：排除 `spring-boot-starter-tomcat`，引入 `spring-boot-starter-undertow`。定制容器实现 `WebServerFactoryCustomizer` 接口，修改配置（如连接器、线程池参数）。	stack::spring-boot
Spring 如何解决循环依赖？为什么构造器注入无法解决？	三级缓存解决：一级 `singletonObjects`（已完成）、二级 `earlySingletonObjects`（半成品）、三级 `singletonFactories`（工厂方法）。Bean 创建时提前暴露工厂，A 依赖 B 时从三级缓存取工厂创建 A 的代理对象，注入 B 完成后再创建 B，B 注入 A 的早期引用。构造器注入不行：因为构造器执行时 Bean 尚未实例化，无法放入三级缓存。推荐用 `@Lazy` 或重构拆分。	stack::spring-boot
描述 Spring Bean 的完整生命周期（从加载到销毁）。	① 实例化（构造器/工厂方法）；② 属性赋值（populateBean）；③ Aware 接口回调（BeanNameAware、BeanFactoryAware、ApplicationContextAware）；④ BeanPostProcessor#postProcessBeforeInitialization；⑤ InitializingBean#afterPropertiesSet；⑥ 自定义 init-method（@PostConstruct）；⑦ BeanPostProcessor#postProcessAfterInitialization（AOP 在此创建代理）；⑧ Bean 就绪，可用了；⑨ 容器关闭时：@PreDestroy → DisposableBean#destroy → 自定义 destroy-method。	stack::spring-boot
Spring AOP 的实现原理是什么？JDK 动态代理和 CGLIB 有什么区别？	Spring AOP 基于动态代理，在 BeanPostProcessor#postProcessAfterInitialization 阶段创建代理对象。JDK 动态代理：目标类必须实现接口，利用 `InvocationHandler` + `Proxy.newProxyInstance` 生成代理类。CGLIB：通过 ASM 生成目标类的子类，重写非 final 方法。Spring Boot 2.x+ 默认 CGLIB（`spring.aop.proxy-target-class=true`）。JDK 代理只能代理接口方法，CGLIB 可代理类方法（但 final 方法不行）。	stack::spring-boot
Spring 事务的 7 种传播行为分别是什么？REQUIRED 和 REQUIRES_NEW 的区别？	REQUIRED（默认，有事务则加入，无则新建）、REQUIRES_NEW（挂起当前事务，新建独立事务，内外事务互不影响）、NESTED（嵌套事务，利用 Savepoint，内层回滚不影响外层）、SUPPORTS（有事务则加入，无则非事务执行）、NOT_SUPPORTED（非事务执行，挂起当前事务）、MANDATORY（必须在事务中，否则抛异常）、NEVER（不能在事务中，否则抛异常）。REQUIRES_NEW 完全独立，NESTED 可部分回滚。	stack::spring-boot::速记
@Async 的工作原理是什么？使用时需要注意什么？	原理：`@EnableAsync` 开启，`AsyncAnnotationBeanPostProcessor` 为 `@Async` 方法创建代理，将方法提交到 `TaskExecutor` 线程池执行。注意：① 自调用不生效（不走代理）；② 默认使用 SimpleAsyncTaskExecutor（每次新建线程，生产环境需自定义线程池）；③ 返回 `void` 或 `Future`（`CompletableFuture` 推荐）；④ 事务和 `@Async` 一起使用时，事务上下文不传播到异步线程。	stack::spring-boot::代码
Spring Boot Actuator 的核心端点有哪些？如何与 K8s 探针集成？	核心端点：`/health`（健康检查）、`/metrics`（指标，Micrometer 门面）、`/info`（应用信息）、`/env`（环境属性）、`/loggers`（动态改日志级别）。K8s 探针集成：`/actuator/health/liveness`（存活探针，容器是否活着）和 `/actuator/health/readiness`（就绪探针，能否接收流量）。安全建议：用 `management.server.port` 独立端口 + Spring Security 保护。	stack::spring-boot::速记
Spring Boot 配置文件的加载顺序是什么？哪个优先级最高？	优先级从高到低：① 命令行参数（`--server.port=8081`）；② JNDI 属性；③ 系统属性（System.getProperties）；④ 操作系统环境变量；⑤ `application-{profile}.properties`（profile 特定）；⑥ `application.properties`（默认）；⑦ `@PropertySource` 注解。最后一个加载的覆盖前面。重要：命令行参数 > 环境变量 > 配置文件，Always 用最高优先级覆盖测试。	stack::spring-boot::速记
Spring Boot 如何管理多环境配置？Profile 如何切换？	文件命名 `application-{profile}.yml`（如 `application-dev.yml`、`application-prod.yml`）。激活方式：① `application.yml` 中 `spring.profiles.active=dev`；② 命令行 `--spring.profiles.active=prod`；③ 环境变量 `SPRING_PROFILES_ACTIVE=prod`。支持多文档块（`---` 分隔 YAML）和 `@Profile` 条件注解控制 Bean 在指定 Profile 生效。推荐用 `-Dspring.profiles.active` 部署时指定。	stack::spring-boot::速记
Spring Boot 3 + GraalVM 原生镜像解决了什么问题？有什么限制？	原生镜像通过 AOT（Ahead-of-Time）编译将应用编译为本地可执行文件，启动时间从秒级降到毫秒级（50-100ms），内存占用降低 50%+。限制：① 反射/动态代理需要提前配置（`hints` 文件）；② 不支持条件注解动态决策（AOT 编译时已确定）；③ 部分第三方库不兼容；④ 调试困难（无 JIT 编译日志）。适合 Serverless/FaaS/边缘计算场景。	stack::spring-boot
从 Spring Boot 2.x 迁移到 3.x 需要关注哪些变更？	① Java 17 基线，需升级 JDK；② `javax.*` 迁移到 `jakarta.*`（Servlet/JPA 包名变更）；③ Spring Security 配置方法链式 API 变更；④ 移除 `spring.factories` 自动配置（改用 `AutoConfiguration.imports`）；⑤ RestTemplate 弃用，推荐 WebClient；⑥ `HttpStatus` 枚举变接口；⑦ 支持虚拟线程（`spring.threads.virtual.enabled=true`）。	stack::spring-boot::速记
@WebMvcTest 和 @SpringBootTest 在测试 Controller 时有什么区别？	`@WebMvcTest` 只加载 Controller 层、Filter 和 AOP 相关组件，Service 和 Repository 需要 `@MockBean` 模拟，速度快且隔离好。`@SpringBootTest` 启动完整上下文，集成测试但慢。MockMvc 用法：`mockMvc.perform(get(""/api/users/1"")).andExpect(status().isOk()).andExpect(jsonPath(""$.name"").value(""Alice""))`。推荐：`@WebMvcTest` 测 Controller 逻辑，`@SpringBootTest` 测端到端流程。	stack::spring-boot::代码
Python GIL 是什么？它如何影响多线程和多进程？	GIL（全局解释器锁）是 CPython 解释器中的一个互斥锁，保证同一时刻只有一个线程执行 Python 字节码。导致多线程无法利用多核 CPU 并行计算。多线程适合 IO 密集型（网络请求、文件读写——线程等待 IO 时释放 GIL）；多进程适合 CPU 密集型（每个进程有独立解释器，无 GIL 竞争）。绕过 GIL 方案：多进程、C 扩展（如 NumPy 释放 GIL）、asyncio 协程。	stack::python
Python async/await 是如何实现的？事件循环的工作机制是什么？	`async def` 定义协程函数，返回协程对象。`await` 挂起当前协程，让出控制权给事件循环。事件循环通过 `asyncio.run()` 启动，维护一个就绪队列和等待队列，执行过程：从就绪队列取协程执行 → 遇到 `await` 挂起协程到等待队列 → 等待完成后放回就绪队列 → 循环往复。`asyncio.gather` 并发执行多个协程，`asyncio.create_task` 将协程包装为 Task 调度。关键区别：`await` 串行，`gather` 并发。	stack::python
装饰器的工作原理是什么？functools.wraps 的作用？	装饰器本质是语法糖：`@decorator` 等价于 `func = decorator(func)`。装饰器函数接收被装饰函数作为参数，返回一个新函数。`functools.wraps` 将原函数的元信息（`__name__`、`__doc__`、`__module__`）复制到包装函数，否则调试时看到的是包装函数名。带参数的装饰器需要三层嵌套：外层接收参数 → 中层接收函数 → 内层返回包装函数。	stack::python
元类是什么？ORM 框架如何利用元类？	元类是创建类的类，默认是 `type`。`type('MyClass', (Base,), {'attr': value})` 动态创建类。元类通过 `__new__` 和 `__init__` 方法拦截类创建过程，可修改类属性、添加方法、验证类定义。ORM 框架（如 SQLAlchemy、Django ORM）利用元类：在类定义阶段读取 `Field` 类属性，构建表结构映射（Table Meta），生成 `__table__` 和 `__mapper__`。元类也被用于单例模式、注册表模式。	stack::python
生成器和迭代器的区别是什么？yield 关键字如何工作？	迭代器实现了 `__iter__` 和 `__next__` 协议，可以用 `for` 循环遍历。生成器是特殊的迭代器，用 `yield` 关键字定义，每次 `yield` 暂停执行并返回值，下次调用 `__next__` 从暂停处继续。生成器函数体中的 `return` 值存储在 `StopIteration.value` 中。`yield from` 可委托给另一个生成器，简化嵌套。生成器懒惰求值，节省内存，适合处理大数据流。	stack::python::速记
with 语句的执行流程是什么？如何自定义上下文管理器？	`with` 语句在进入时调用 `__enter__`，退出时（无论是否异常）调用 `__exit__`。`__exit__` 接收 exc_type/exc_val/exc_tb，返回 True 表示忽略异常。自定义方式：① 类实现 `__enter__` 和 `__exit__`；② `@contextmanager` 装饰器 + `yield` 分割 enter 和 exit 逻辑（yield 前的代码是 enter，yield 后的代码是 exit）。常用于资源管理（文件/数据库连接/锁）。	stack::python::代码
深拷贝和浅拷贝的区别是什么？copy 模块的 copy 和 deepcopy 有什么不同？	浅拷贝（`copy.copy`）创建新对象，但嵌套对象是引用，修改嵌套对象会影响原对象。深拷贝（`copy.deepcopy`）递归复制所有嵌套对象，新对象完全独立。`deepcopy` 维护一个 memo 字典记录已复制对象，防止循环引用导致无限递归（如 `a = []; a.append(a)`）。不可变类型（int/str/tuple）浅拷贝不复制，直接返回引用。	stack::python::速记
列表推导式为什么比 for 循环快？生成器表达式有什么优势？	列表推导式比 for 循环快 30-50%：① 在 C 级别执行（Python 字节码在解释器层面优化）；② 避免了 `append` 方法查找开销；③ 减少了 `LOAD_FAST` 等指令数。生成器表达式（圆括号）惰性求值，不一次性生成全部元素，内存占用更低。`sum(x**2 for x in range(10**7))` 用生成器几乎不占内存，列表推导式会占用几百 MB。	stack::python
Python typing 模块的类型注解有哪些常用类型？运行时是否生效？	常用类型：`List[int]`、`Dict[str, int]`、`Optional[str]`（等价于 `Union[str, None]`）、`Union[int, str]`、`Tuple[int, ...]`、`Any`、`TypeVar`、`Generic[T]`、`Callable[[int], str]`。Python 3.10+ 支持 `X | Y` 语法（`str | int`）。类型注解在运行时**不生效**，仅用于静态类型检查（mypy/pyright）。`typing.TYPE_CHECKING` 可条件导入仅用于类型检查的模块，避免循环导入。	stack::python::速记
pytest fixture 的 scope 有哪些？如何管理 fixture 的清理？	Scope：`function`（每个测试函数，默认）、`class`（每个测试类）、`module`（每个模块）、`session`（整个测试会话）。`conftest.py` 中的 fixture 自动对该目录下的所有测试生效。`yield` 分割 setup 和 teardown 逻辑：yield 之前是 setup，yield 之后是 teardown（无论是否异常都执行）。`autouse=True` 让 fixture 自动生效，无需显式引用。`request` 内置 fixture 可获取测试上下文。	stack::python::代码
unittest.mock 的 patch 和 MagicMock 如何使用？side_effect 和 return_value 的区别？	`@patch('module.ClassName')` 在测试期间替换目标为 Mock 对象，测试结束后自动恢复。`return_value` 设置固定返回值；`side_effect` 可设为函数（动态返回）、异常（抛出异常）或可迭代对象（每次返回不同值）。`MagicMock` 自动支持魔术方法（如 `__len__`、`__iter__`）。`spec` 参数限制 Mock 只模拟真实对象的方法，防止拼写错误。	stack::python::代码
Python 的内存分配机制是什么？小对象和大对象的分配有何不同？	Python 使用两级分配器：底层 `malloc` 分配大块内存，上层 PyMalloc 管理小对象（<512 字节）的分配。小块内存通过 arena（256KB）→ pool（4KB）→ block（分级大小）三级结构管理，避免频繁系统调用。大对象直接通过 `malloc` 分配。`sys.getsizeof` 查看对象内存大小。`__slots__` 可减少对象内存（固定属性，不再有 `__dict__`）。	stack::python
Python 的垃圾回收机制有哪些？引用计数和循环垃圾回收如何协作？	主要机制：① 引用计数（主，每个对象维护引用计数，归零时立即回收，无法处理循环引用）；② 标记-清除（处理循环引用，分代收集，标记可达对象，清除不可达的）；③ 分代回收（三代：0/1/2，新对象放入 0 代，经历一次回收后升级，阈值触发回收）。`gc` 模块：`gc.collect()` 手动触发，`gc.get_objects()` 查看存活对象，`gc.set_threshold()` 调整分代阈值。	stack::python
@contextmanager 装饰器如何将一个生成器函数转为上下文管理器？	`@contextmanager` 装饰一个生成器函数，`yield` 之前的代码是 `__enter__`，`yield` 返回的值赋给 `as` 变量，`yield` 之后的代码是 `__exit__`（在 `finally` 块中执行，确保清理）。示例：`@contextmanager; def managed_resource(): resource = acquire(); try: yield resource; finally: release(resource)`。优势：比类实现更简洁，不需要定义 `__enter__`/`__exit__`。注意：`yield` 只能有一个，异常需在 `try/finally` 中处理。	stack::python::代码
FastAPI 相比 Django 和 Flask 的核心优势是什么？	FastAPI 异步原生（基于 Starlette），性能高（接近 Node.js/Go），内置 Pydantic 类型校验和自动 OpenAPI 文档生成。Django 生态成熟但同步模型为主（3.0+ 部分异步），Flask 轻量但无类型安全和异步原生支持。FastAPI 适合高性能 API 和 AI 项目（LLM 流式输出），Django 适合大型全栈项目，Flask 适合微服务。	stack::fastapi::速记
FastAPI 的 Depends 是如何工作的？如何实现依赖覆盖用于测试？	`Depends(callable)` 将依赖函数的返回值注入路由参数。依赖链：A 依赖 B，B 依赖 C，FastAPI 自动解析并缓存结果（同一请求中多次依赖同一个函数，只执行一次）。`app.dependency_overrides[orig_dep] = mock_dep` 可在测试时替换依赖，无需修改路由代码。生成器依赖（`yield`）用于资源管理，在请求结束时自动清理（`finally` 块）。	stack::fastapi
